filename,volume_rate(%),duration(s),memory(KB)
br00_001.json,85.93,0.002,361
br00_002.json,90.80,0.429,993
br00_003.json,67.68,0.001,158
br00_004.json,68.41,0.001,117
br00_005.json,80.07,0.002,172
br00_006.json,69.14,0.001,120
br00_007.json,69.52,0.000,98
br00_008.json,76.64,0.003,140
br00_009.json,71.23,0.001,109
br00_010.json,77.68,0.004,209
br00_011.json,68.05,0.001,129
br00_012.json,69.11,0.001,105
br00_013.json,82.12,0.080,543
br00_014.json,90.12,0.011,272
br00_015.json,78.45,0.003,187
br00_016.json,72.45,0.040,376
br00_017.json,91.92,0.006,227
br00_018.json,87.83,0.003,181
br00_019.json,89.59,0.024,362
br00_020.json,88.47,0.001,97
br00_021.json,72.77,0.000,83
br00_022.json,73.83,0.001,116
br00_023.json,65.53,0.002,192
br00_024.json,60.99,0.001,135
br00_025.json,87.62,0.004,206
br00_026.json,83.20,0.001,139
br00_027.json,66.91,0.001,113
br00_028.json,85.34,0.003,169
br00_029.json,71.99,0.001,126
br00_030.json,77.92,0.009,259
br00_031.json,68.94,0.004,156
br00_032.json,95.02,0.001,121
br00_033.json,87.43,0.340,823
br00_034.json,87.13,0.031,389
br00_035.json,92.82,0.009,270
br00_036.json,87.05,0.144,607
br00_037.json,88.92,0.001,122
br00_038.json,71.48,0.000,97
br00_039.json,76.03,0.002,153
br00_040.json,83.61,0.001,108
br00_041.json,78.83,0.000,90
br00_042.json,84.11,0.001,130
br00_043.json,86.68,0.000,99
br00_044.json,76.15,0.002,168
br00_045.json,89.96,0.008,261
br00_046.json,93.10,0.002,175
br00_047.json,80.05,0.001,134
br00_048.json,73.33,0.006,209
br00_049.json,70.55,0.001,154
br00_050.json,85.76,0.027,337
br00_051.json,89.45,0.005,196
br00_052.json,89.73,0.002,157
br00_053.json,91.16,0.018,333
br00_054.json,78.73,0.003,194
br00_055.json,61.23,0.001,135
br00_056.json,80.06,0.006,225
br00_057.json,82.49,0.001,140
br00_058.json,70.21,0.001,109
br00_059.json,74.92,0.003,174
br00_060.json,68.20,0.001,120
br00_061.json,70.94,0.001,98
br00_062.json,70.35,0.002,154
br00_063.json,76.98,0.001,113
br00_064.json,90.02,0.005,228
br00_065.json,89.35,0.028,356
br00_066.json,79.94,0.006,225
br00_067.json,67.78,0.002,172
br00_068.json,91.91,0.013,285
br00_069.json,85.16,0.004,202
br00_070.json,81.71,0.081,509
br00_071.json,66.58,0.001,109
br00_072.json,74.20,0.000,88
br00_073.json,77.56,0.001,141
br00_074.json,81.01,0.000,99
br00_075.json,70.47,0.002,166
br00_076.json,85.77,0.010,281
br00_077.json,91.81,0.002,168
br00_078.json,80.73,0.001,126
br00_079.json,67.63,0.005,206
br00_080.json,86.72,0.001,140
br00_081.json,72.38,0.001,113
br00_082.json,79.32,0.003,185
br00_083.json,75.68,0.001,133
br00_084.json,91.89,0.001,113
br00_085.json,95.22,0.074,566
br00_086.json,85.49,0.019,325
br00_087.json,80.19,0.007,250
br00_088.json,79.76,0.002,143
br00_089.json,64.13,0.000,108
br00_090.json,78.88,0.004,192
br00_091.json,65.65,0.001,122
br00_092.json,79.11,0.000,96
br00_093.json,73.46,0.002,164
br00_094.json,79.10,0.001,111
br00_095.json,86.62,0.004,208
br00_096.json,83.62,0.026,363
br00_097.json,77.91,0.005,205
br00_098.json,80.99,0.002,153
br00_099.json,94.34,0.009,268
br00_100.json,66.86,0.004,176
br01_001.json,83.28,0.001,136
br01_002.json,86.36,0.001,158
br01_003.json,65.78,0.001,146
br01_004.json,81.10,0.004,198
br01_005.json,78.84,0.002,156
br01_006.json,83.77,0.002,164
br01_007.json,81.53,0.001,145
