filename,volume_rate(%),duration(s),memory(KB)
br00_001.json,85.93,0.006,1060
br00_002.json,90.80,0.995,1496
br00_003.json,67.68,0.003,972
br00_004.json,68.41,0.001,896
br00_005.json,80.07,0.006,956
br00_006.json,69.14,0.004,960
br00_007.json,69.52,0.002,896
br00_008.json,76.64,0.007,924
br00_009.json,71.23,0.003,892
br00_010.json,77.68,0.010,1056
br00_011.json,68.05,0.004,928
br00_012.json,69.11,0.002,976
br00_013.json,82.12,0.196,1324
br00_014.json,90.12,0.024,1172
br00_015.json,78.45,0.009,1072
br00_016.json,72.45,0.111,1264
br00_017.json,91.92,0.013,1244
br00_018.json,87.83,0.006,1104
br00_019.json,89.59,0.054,1304
br00_020.json,88.47,0.001,1028
br00_021.json,72.77,0.001,900
br00_022.json,73.83,0.004,1024
br00_023.json,65.53,0.013,1128
br00_024.json,60.99,0.003,1020
br00_025.json,87.62,0.018,1212
br00_026.json,83.20,0.005,1064
br00_027.json,66.91,0.005,968
br00_028.json,85.34,0.012,1104
br00_029.json,71.99,0.009,1100
br00_030.json,77.92,0.029,1256
br00_031.json,68.94,0.008,1072
br00_032.json,95.02,0.005,1076
br00_033.json,87.43,0.839,1764
br00_034.json,87.13,0.074,1488
br00_035.json,92.82,0.021,1340
br00_036.json,87.05,0.307,1568
br00_037.json,88.92,0.002,1056
br00_038.json,71.48,0.002,980
br00_039.json,76.03,0.008,1032
br00_040.json,83.61,0.003,1052
br00_041.json,78.83,0.002,908
br00_042.json,84.11,0.006,1032
br00_043.json,86.68,0.004,976
br00_044.json,76.15,0.005,1152
br00_045.json,89.96,0.023,1360
br00_046.json,93.10,0.008,1200
br00_047.json,80.05,0.002,1012
br00_048.json,73.33,0.014,1248
br00_049.json,70.55,0.003,1084
br00_050.json,85.76,0.065,1428
br00_051.json,89.45,0.010,1312
br00_052.json,89.73,0.005,1072
br00_053.json,91.16,0.044,1416
br00_054.json,78.73,0.005,1236
br00_055.json,61.23,0.002,1052
br00_056.json,80.06,0.019,1344
br00_057.json,82.49,0.003,1040
br00_058.json,70.21,0.003,1064
br00_059.json,74.92,0.012,1128
br00_060.json,68.20,0.004,1084
br00_061.json,70.94,0.003,960
br00_062.json,70.35,0.011,1052
br00_063.json,76.98,0.004,1068
br00_064.json,90.02,0.016,1268
br00_065.json,89.35,0.071,1392
br00_066.json,79.94,0.014,1344
br00_067.json,67.78,0.005,1092
br00_068.json,91.91,0.033,1424
br00_069.json,85.16,0.013,1280
br00_070.json,81.71,0.150,1652
br00_071.json,66.58,0.002,1036
br00_072.json,74.20,0.004,940
br00_073.json,77.56,0.007,1060
br00_074.json,81.01,0.003,980
br00_075.json,70.47,0.006,1208
br00_076.json,85.77,0.028,1352
br00_077.json,91.81,0.006,1212
br00_078.json,80.73,0.006,1076
br00_079.json,67.63,0.019,1256
br00_080.json,86.72,0.005,1036
br00_081.json,72.38,0.004,1088
br00_082.json,79.32,0.016,1164
br00_083.json,75.68,0.006,1072
br00_084.json,91.89,0.005,1044
br00_085.json,95.22,0.176,1648
br00_086.json,85.49,0.042,1480
br00_087.json,80.19,0.017,1348
br00_088.json,79.76,0.003,1100
br00_089.json,64.13,0.001,1096
br00_090.json,78.88,0.011,1172
br00_091.json,65.65,0.009,1112
br00_092.json,79.11,0.002,964
br00_093.json,73.46,0.010,1132
br00_094.json,79.10,0.003,1056
br00_095.json,86.62,0.012,1208
br00_096.json,83.62,0.065,1460
br00_097.json,77.91,0.011,1312
br00_098.json,80.99,0.005,1056
br00_099.json,94.34,0.023,1404
br00_100.json,66.86,0.008,1136
br01_001.json,83.28,0.004,1108
br01_002.json,86.36,0.008,1116
br01_003.json,65.78,0.007,1116
br01_004.json,81.10,0.022,1172
br01_005.json,78.84,0.010,1088
br01_006.json,83.77,0.012,1108
br01_007.json,81.53,0.010,1120
br01_008.json,87.95,0.018,1172
br01_009.json,70.25,0.002,1100
br01_010.json,88.08,0.007,1056
br01_011.json,75.77,0.006,1096
br01_012.json,77.33,0.008,1084
br01_013.json,88.49,0.034,1260
br01_014.json,85.85,0.003,1156
br01_015.json,81.69,0.006,1068
br01_016.json,78.55,0.017,1132
br01_017.json,87.60,0.019,1372
br01_018.json,84.07,0.002,1080
br01_019.json,85.20,0.006,1116
br01_020.json,83.34,0.004,984
br01_021.json,88.99,0.004,1072
br01_022.json,74.73,0.012,1088
br01_023.json,83.64,0.007,1124
br01_024.json,78.79,0.012,1096
br01_025.json,79.70,0.017,1088
br01_026.json,72.65,0.010,1148
br01_027.json,79.37,0.007,1052
br01_028.json,74.56,0.009,1096
br01_029.json,75.21,0.009,1080
br01_030.json,87.94,0.114,1452
br01_031.json,80.47,0.008,1144
br01_032.json,89.91,0.012,1132
br01_033.json,87.24,0.043,1348
br01_034.json,89.07,0.007,1208
br01_035.json,80.87,0.011,1104
br01_036.json,87.28,0.021,1208
br01_037.json,87.38,0.005,1112
br01_038.json,82.80,0.006,1072
br01_039.json,89.79,0.027,1416
br01_040.json,83.82,0.004,1128
br01_041.json,84.43,0.007,1092
br01_042.json,79.73,0.016,1116
br01_043.json,78.78,0.007,1184
br01_044.json,69.81,0.010,1088
br01_045.json,88.67,0.013,1204
br01_046.json,85.58,0.007,1064
br01_047.json,82.08,0.011,1164
br01_048.json,76.80,0.018,1152
br01_049.json,81.80,0.004,1088
br01_050.json,89.23,0.024,1192
br01_051.json,80.58,0.010,1072
br01_052.json,89.98,0.021,1244
br01_053.json,81.25,0.010,1180
br01_054.json,75.00,0.014,1116
br01_055.json,76.56,0.004,1144
br01_056.json,81.36,0.119,1404
br01_057.json,74.01,0.005,1148
br01_058.json,73.90,0.003,1008
br01_059.json,83.04,0.018,1256
br01_060.json,76.97,0.006,1136
br01_061.json,75.56,0.004,1052
br01_062.json,82.11,0.008,1104
br01_063.json,69.84,0.007,1092
br01_064.json,85.15,0.005,1128
br01_065.json,82.32,0.205,1472
br01_066.json,86.34,0.006,1284
br01_067.json,77.13,0.015,1284
br01_068.json,81.04,0.026,1480
br01_069.json,79.67,0.006,1156
br01_070.json,79.29,0.009,1192
br01_071.json,78.13,0.004,1060
br01_072.json,86.77,0.003,1112
br01_073.json,82.10,0.009,1088
br01_074.json,82.29,0.010,1052
br01_075.json,71.72,0.008,1172
br01_076.json,80.96,0.033,1432
br01_077.json,86.90,0.013,1400
br01_078.json,84.71,0.010,1228
br01_079.json,85.24,0.017,1284
br01_080.json,85.45,0.005,1048
br01_081.json,83.45,0.004,1068
br01_082.json,74.02,0.012,1232
br01_083.json,73.97,0.007,1024
br01_084.json,66.34,0.003,1040
br01_085.json,91.71,0.050,1404
br01_086.json,82.65,0.010,1200
br01_087.json,88.11,0.005,1076
br01_088.json,79.04,0.013,1168
br01_089.json,81.89,0.007,1056
br01_090.json,72.40,0.006,1108
br01_091.json,89.48,0.031,1372
br01_092.json,81.85,0.003,1100
br01_093.json,85.92,0.005,1100
br01_094.json,83.30,0.012,1100
br01_095.json,76.75,0.011,1156
br01_096.json,86.61,0.017,1132
br01_097.json,87.33,0.010,1188
br01_098.json,76.88,0.014,1096
br01_099.json,83.50,0.015,1156
br01_100.json,77.98,0.023,1292
br02_001.json,79.18,0.002,1056
br02_002.json,87.50,0.008,1112
br02_003.json,84.29,0.017,1116
br02_004.json,82.46,0.028,1264
br02_005.json,81.08,0.006,1088
br02_006.json,87.89,0.009,1184
br02_007.json,80.24,0.015,1068
br02_008.json,79.47,0.004,1128
br02_009.json,81.13,0.002,1076
br02_010.json,86.19,0.017,1220
br02_011.json,74.75,0.004,1028
br02_012.json,80.77,0.004,1064
br02_013.json,90.76,0.021,1408
br02_014.json,78.89,0.002,1124
br02_015.json,84.09,0.011,1056
br02_016.json,86.49,0.010,1256
br02_017.json,85.41,0.008,1080
br02_018.json,81.93,0.009,1144
br02_019.json,86.76,0.011,1152
br02_020.json,84.31,0.007,1136
br02_021.json,82.80,0.003,1044
br02_022.json,80.61,0.011,1124
br02_023.json,62.42,0.005,1032
br02_024.json,77.92,0.005,1104
br02_025.json,83.95,0.012,1160
br02_026.json,86.57,0.022,1208
br02_027.json,88.05,0.007,1084
br02_028.json,76.96,0.011,1128
br02_029.json,80.94,0.017,1120
br02_030.json,89.52,0.017,1304
br02_031.json,76.91,0.012,1060
br02_032.json,83.84,0.018,1136
br02_033.json,89.35,0.009,1088
br02_034.json,85.51,0.017,1164
br02_035.json,85.92,0.017,1208
br02_036.json,85.15,0.006,1124
br02_037.json,81.63,0.007,1084
br02_038.json,85.67,0.012,1072
br02_039.json,88.89,0.053,1292
br02_040.json,86.61,0.003,1068
br02_041.json,82.84,0.007,1104
br02_042.json,75.84,0.016,1060
br02_043.json,83.72,0.004,1124
br02_044.json,69.88,0.007,1092
br02_045.json,84.71,0.017,1196
br02_046.json,82.39,0.006,1084
br02_047.json,74.72,0.025,1152
br02_048.json,81.85,0.012,1136
br02_049.json,85.65,0.004,1140
br02_050.json,86.25,0.019,1204
br02_051.json,84.10,0.010,1136
br02_052.json,84.09,0.005,1048
br02_053.json,78.96,0.009,1176
br02_054.json,76.70,0.007,1060
br02_055.json,77.49,0.006,1136
br02_056.json,86.72,0.019,1160
br02_057.json,74.69,0.007,1196
br02_058.json,81.75,0.004,1088
br02_059.json,81.76,0.030,1188
br02_060.json,81.04,0.005,1084
br02_061.json,82.62,0.003,1100
br02_062.json,75.99,0.008,1088
br02_063.json,79.75,0.007,1144
br02_064.json,72.08,0.007,1080
br02_065.json,84.10,0.021,1232
br02_066.json,84.91,0.011,1148
br02_067.json,81.38,0.013,1180
br02_068.json,86.64,0.006,1116
br02_069.json,78.46,0.011,1108
br02_070.json,77.06,0.007,1056
br02_071.json,80.83,0.009,1148
br02_072.json,83.80,0.005,1060
br02_073.json,77.10,0.014,1036
br02_074.json,80.46,0.013,1164
br02_075.json,81.67,0.019,1108
br02_076.json,87.52,0.025,1216
br02_077.json,82.75,0.022,1316
br02_078.json,85.22,0.015,1316
br02_079.json,82.05,0.021,1288
br02_080.json,76.05,0.006,1108
br02_081.json,81.05,0.006,1060
br02_082.json,81.23,0.012,1156
br02_083.json,77.43,0.011,1164
br02_084.json,71.25,0.005,1068
br02_085.json,83.30,0.024,1356
br02_086.json,82.17,0.018,1280
br02_087.json,83.91,0.004,1020
br02_088.json,77.83,0.011,1208
br02_089.json,73.39,0.006,1068
br02_090.json,70.78,0.004,1040
br02_091.json,87.74,0.018,1212
br02_092.json,82.40,0.003,1092
br02_093.json,80.79,0.004,1056
br02_094.json,83.00,0.014,1252
br02_095.json,82.35,0.008,1264
br02_096.json,87.45,0.030,1196
br02_097.json,88.09,0.013,1200
br02_098.json,85.34,0.009,1084
br02_099.json,89.79,0.016,1328
br02_100.json,83.93,0.011,1216
br03_001.json,78.43,0.004,1092
br03_002.json,90.04,0.008,1108
br03_003.json,83.30,0.020,1216
br03_004.json,83.08,0.026,1200
br03_005.json,81.66,0.008,1092
br03_006.json,82.03,0.020,1200
br03_007.json,79.83,0.016,1156
br03_008.json,79.34,0.003,1124
br03_009.json,79.09,0.009,1128
br03_010.json,86.54,0.023,1232
br03_011.json,84.09,0.007,1116
br03_012.json,80.86,0.005,1164
br03_013.json,86.89,0.027,1260
br03_014.json,85.97,0.005,1140
br03_015.json,85.45,0.007,1088
br03_016.json,82.32,0.009,1104
br03_017.json,82.97,0.005,1132
br03_018.json,82.36,0.006,1060
br03_019.json,87.95,0.018,1264
br03_020.json,84.18,0.005,1144
br03_021.json,82.30,0.003,1112
br03_022.json,85.68,0.008,1100
br03_023.json,81.55,0.011,1180
br03_024.json,86.98,0.010,1104
br03_025.json,77.02,0.015,1168
br03_026.json,82.09,0.015,1208
br03_027.json,85.87,0.007,1156
br03_028.json,76.82,0.016,1136
br03_029.json,80.45,0.037,1340
br03_030.json,82.57,0.011,1096
br03_031.json,77.53,0.015,1184
br03_032.json,84.12,0.012,1132
br03_033.json,87.32,0.009,1172
br03_034.json,84.68,0.020,1208
br03_035.json,83.96,0.013,1280
br03_036.json,89.15,0.006,1108
br03_037.json,87.89,0.006,1180
br03_038.json,79.13,0.005,1112
br03_039.json,84.81,0.044,1380
br03_040.json,78.42,0.002,1056
br03_041.json,84.69,0.007,1176
br03_042.json,83.01,0.006,1132
br03_043.json,83.32,0.002,1188
br03_044.json,78.62,0.008,1200
br03_045.json,86.08,0.014,1224
br03_046.json,78.50,0.007,1120
br03_047.json,81.98,0.019,1268
br03_048.json,83.74,0.006,1100
br03_049.json,84.42,0.006,1156
br03_050.json,86.13,0.012,1144
br03_051.json,80.55,0.017,1280
br03_052.json,83.78,0.010,1232
br03_053.json,80.83,0.005,1112
br03_054.json,83.84,0.017,1276
br03_055.json,78.22,0.015,1252
br03_056.json,80.99,0.031,1288
br03_057.json,83.91,0.006,1108
br03_058.json,78.22,0.001,1064
br03_059.json,78.24,0.027,1436
br03_060.json,79.96,0.005,1116
br03_061.json,84.54,0.004,1116
br03_062.json,81.17,0.009,1120
br03_063.json,79.66,0.010,1136
br03_064.json,73.89,0.007,1140
br03_065.json,81.90,0.013,1160
br03_066.json,80.99,0.008,1084
br03_067.json,78.32,0.028,1276
br03_068.json,84.47,0.008,1120
br03_069.json,81.36,0.018,1280
br03_070.json,78.89,0.004,1124
br03_071.json,82.26,0.009,1204
br03_072.json,82.18,0.016,1080
br03_073.json,79.52,0.008,1136
br03_074.json,77.82,0.003,1124
br03_075.json,81.12,0.008,1172
br03_076.json,83.11,0.011,1172
br03_077.json,82.59,0.029,1220
br03_078.json,81.59,0.010,1268
br03_079.json,83.42,0.022,1324
br03_080.json,77.88,0.006,1136
br03_081.json,79.53,0.005,1104
br03_082.json,83.85,0.019,1260
br03_083.json,80.68,0.011,1136
br03_084.json,77.84,0.004,1104
br03_085.json,86.92,0.010,1204
br03_086.json,79.38,0.021,1100
br03_087.json,87.15,0.011,1180
br03_088.json,73.21,0.018,1240
br03_089.json,74.61,0.003,1092
br03_090.json,80.64,0.004,1048
br03_091.json,88.10,0.020,1184
br03_092.json,82.07,0.003,1124
br03_093.json,78.84,0.003,1064
br03_094.json,84.32,0.018,1232
br03_095.json,88.23,0.012,1312
br03_096.json,83.41,0.019,1296
br03_097.json,81.73,0.009,1284
br03_098.json,75.36,0.008,1124
br03_099.json,85.02,0.006,1152
br03_100.json,86.61,0.009,1120
br04_001.json,70.31,0.002,1136
br04_002.json,84.27,0.006,1180
br04_003.json,83.39,0.010,1220
br04_004.json,79.95,0.010,1264
br04_005.json,83.36,0.006,1216
br04_006.json,82.64,0.008,1140
br04_007.json,83.25,0.006,1236
br04_008.json,78.39,0.002,1124
br04_009.json,79.42,0.011,1228
br04_010.json,82.82,0.005,1156
br04_011.json,79.42,0.006,1212
br04_012.json,82.81,0.005,1140
br04_013.json,84.15,0.015,1260
br04_014.json,84.84,0.006,1120
br04_015.json,82.02,0.011,1128
br04_016.json,80.46,0.017,1152
br04_017.json,81.56,0.004,1112
br04_018.json,78.07,0.002,1016
br04_019.json,79.87,0.011,1188
br04_020.json,82.40,0.013,1152
br04_021.json,75.89,0.008,1196
br04_022.json,84.05,0.008,1124
br04_023.json,81.42,0.005,1144
br04_024.json,82.56,0.015,1196
br04_025.json,74.78,0.008,1188
br04_026.json,72.09,0.007,1196
br04_027.json,84.06,0.007,1204
br04_028.json,84.33,0.017,1284
br04_029.json,83.98,0.010,1232
br04_030.json,87.49,0.015,1240
br04_031.json,78.85,0.010,1252
br04_032.json,82.40,0.015,1216
